DISTRITO LOCAL,MUNICIPIO,CLAVE MUNICIPIO,SECCION,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,VOTOS VALIDOS ,VOTOS NULOS,TOTAL VOTOS,LISTA NOMINAL
8,1,ACAPULCO DE JUAREZ,1,15,104,45,8,58,25,12,426,775,34,809,1265
8,1,ACAPULCO DE JUAREZ,2,29,92,45,6,43,20,3,283,577,22,599,1022
8,1,ACAPULCO DE JUAREZ,3,14,238,77,10,80,81,6,526,1168,68,1240,2280
8,1,ACAPULCO DE JUAREZ,4,8,90,37,10,37,6,2,286,526,25,551,988
8,1,ACAPULCO DE JUAREZ,5,2,59,66,4,23,3,10,170,380,26,406,729
8,1,ACAPULCO DE JUAREZ,6,12,56,28,4,28,5,6,219,421,12,433,774
8,1,ACAPULCO DE JUAREZ,7,14,94,40,9,56,12,7,368,665,33,698,1257
8,1,ACAPULCO DE JUAREZ,8,12,84,27,5,40,14,9,224,468,246,715,832
8,1,ACAPULCO DE JUAREZ,9,5,92,34,4,29,10,10,170,414,28,442,783
8,1,ACAPULCO DE JUAREZ,10,12,89,39,5,43,9,3,249,509,21,530,895
8,1,ACAPULCO DE JUAREZ,11,6,73,25,2,27,10,7,224,445,24,469,945
8,1,ACAPULCO DE JUAREZ,12,4,76,26,4,49,5,15,258,482,21,503,886
8,1,ACAPULCO DE JUAREZ,13,17,130,46,15,60,8,17,364,711,31,744,1304
4,1,ACAPULCO DE JUAREZ,14,15,96,10,5,22,13,6,179,402,20,422,712
4,1,ACAPULCO DE JUAREZ,15,11,116,15,10,35,10,10,211,473,36,509,891
4,1,ACAPULCO DE JUAREZ,16,5,72,38,7,26,10,11,182,405,36,441,831
4,1,ACAPULCO DE JUAREZ,17,17,81,18,5,40,11,5,229,502,24,526,999
4,1,ACAPULCO DE JUAREZ,18,9,135,29,6,54,19,9,344,788,48,836,1437
4,1,ACAPULCO DE JUAREZ,19,17,174,62,10,123,43,17,630,1219,75,1294,2370
4,1,ACAPULCO DE JUAREZ,20,13,144,30,5,47,15,3,293,646,33,679,1126
4,1,ACAPULCO DE JUAREZ,21,11,85,24,7,63,16,9,364,721,27,748,1281
4,1,ACAPULCO DE JUAREZ,22,17,108,32,5,81,46,7,367,754,26,780,1272
4,1,ACAPULCO DE JUAREZ,23,24,143,26,11,83,8,8,496,900,30,930,1588
5,1,ACAPULCO DE JUAREZ,24,15,140,47,13,74,9,14,489,865,14,879,1222
5,1,ACAPULCO DE JUAREZ,25,19,178,57,11,85,18,21,441,913,24,938,1273
4,1,ACAPULCO DE JUAREZ,26,22,98,42,7,84,12,8,400,755,18,773,1206
4,1,ACAPULCO DE JUAREZ,27,29,136,42,21,103,31,6,439,942,42,985,1776
4,1,ACAPULCO DE JUAREZ,28,12,127,23,5,71,21,6,291,632,50,682,1230
4,1,ACAPULCO DE JUAREZ,29,10,131,27,10,123,16,7,487,926,27,953,1693
4,1,ACAPULCO DE JUAREZ,30,13,124,39,18,111,12,5,423,869,63,933,1721
4,1,ACAPULCO DE JUAREZ,31,43,378,70,27,180,77,39,866,1929,91,2021,3744
4,1,ACAPULCO DE JUAREZ,32,11,171,27,7,72,11,6,298,666,22,689,1047
4,1,ACAPULCO DE JUAREZ,33,15,191,56,15,87,17,6,544,1087,36,1125,1764
4,1,ACAPULCO DE JUAREZ,34,11,109,18,3,66,5,9,280,571,21,595,1078
