DISTRITO LOCAL,CLAVE MUNICIPIO,MUNICIPIO,SECCION,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,VOTOS VALIDOS,VOTOS NULOS,TOTAL VOTOS,LISTA NOMINAL
1,29,CHILPANCINGO DE LOS BRAVO,1204,81,788,367,122,242,81,33,2479,4533,266,4800,8140
1,29,CHILPANCINGO DE LOS BRAVO,1205,19,272,120,24,92,20,11,608,1260,62,1322,2201
1,29,CHILPANCINGO DE LOS BRAVO,1206,19,166,57,29,61,12,9,529,972,47,1019,1593
1,29,CHILPANCINGO DE LOS BRAVO,1209,9,132,65,12,29,8,6,354,674,33,707,1213
1,29,CHILPANCINGO DE LOS BRAVO,1210,23,253,145,30,70,24,19,788,1457,67,1524,2687
1,29,CHILPANCINGO DE LOS BRAVO,1211,18,259,105,31,94,20,10,765,1415,88,1503,2500
1,29,CHILPANCINGO DE LOS BRAVO,1212,33,316,136,33,143,32,27,916,1754,81,1835,2961
1,29,CHILPANCINGO DE LOS BRAVO,1213,109,1036,607,181,316,118,52,3511,6481,323,6805,11714
1,29,CHILPANCINGO DE LOS BRAVO,1214,23,240,97,18,28,10,10,567,1074,48,1124,1817
1,29,CHILPANCINGO DE LOS BRAVO,1215,27,204,62,17,28,18,7,396,821,34,858,1155
1,29,CHILPANCINGO DE LOS BRAVO,1216,29,384,83,32,41,18,12,716,1379,46,1426,2045
1,29,CHILPANCINGO DE LOS BRAVO,1217,12,202,146,28,38,8,10,730,1273,62,1338,2146
1,29,CHILPANCINGO DE LOS BRAVO,1219,11,163,81,19,34,13,8,496,892,32,924,1409
1,29,CHILPANCINGO DE LOS BRAVO,1220,19,240,66,28,36,21,6,457,959,29,994,1526
1,29,CHILPANCINGO DE LOS BRAVO,1221,25,289,233,26,72,20,7,687,1438,84,1522,2665
1,29,CHILPANCINGO DE LOS BRAVO,1222,26,297,142,40,65,22,6,757,1463,69,1533,2585
1,29,CHILPANCINGO DE LOS BRAVO,1223,18,173,54,19,32,6,15,419,802,23,825,1319
1,29,CHILPANCINGO DE LOS BRAVO,1224,13,110,59,17,25,2,11,289,569,24,593,865
1,29,CHILPANCINGO DE LOS BRAVO,1225,21,412,59,22,49,13,11,594,1273,62,1338,1033
1,29,CHILPANCINGO DE LOS BRAVO,1226,11,197,76,29,34,14,5,571,1013,26,1039,1570
1,29,CHILPANCINGO DE LOS BRAVO,1231,21,194,48,15,14,3,2,286,633,19,653,875
1,29,CHILPANCINGO DE LOS BRAVO,1232,17,236,111,24,63,18,21,671,1261,64,1326,2167
1,29,CHILPANCINGO DE LOS BRAVO,1233,11,96,58,14,39,8,4,256,508,23,531,803
1,29,CHILPANCINGO DE LOS BRAVO,1234,15,225,111,39,45,15,9,455,997,52,1049,1769
1,29,CHILPANCINGO DE LOS BRAVO,1235,19,202,101,27,50,10,16,409,920,38,958,1473
1,29,CHILPANCINGO DE LOS BRAVO,1236,13,148,56,26,16,18,5,382,716,28,744,1238
1,29,CHILPANCINGO DE LOS BRAVO,1237,40,304,59,31,50,19,9,533,1143,39,1185,1772
1,29,CHILPANCINGO DE LOS BRAVO,1238,37,231,61,27,30,16,23,547,1079,39,1118,1660
1,29,CHILPANCINGO DE LOS BRAVO,1252,23,221,121,51,56,55,16,553,1186,82,1268,2278
1,29,CHILPANCINGO DE LOS BRAVO,1259,40,490,256,79,160,60,18,1017,2400,172,2574,4563
1,29,CHILPANCINGO DE LOS BRAVO,1260,31,257,81,34,31,10,10,590,1109,63,1173,1969
1,29,CHILPANCINGO DE LOS BRAVO,1264,14,217,135,32,87,15,17,701,1332,50,1382,2258
1,29,CHILPANCINGO DE LOS BRAVO,1265,30,270,248,101,159,34,22,1186,2278,139,2417,4198
1,29,CHILPANCINGO DE LOS BRAVO,1266,10,316,127,41,96,24,15,1015,1782,67,1849,2968
1,29,CHILPANCINGO DE LOS BRAVO,1273,11,162,133,23,84,7,3,178,641,34,675,1010
1,29,CHILPANCINGO DE LOS BRAVO,1274,6,69,130,4,8,6,2,31,262,9,271,406
1,29,CHILPANCINGO DE LOS BRAVO,1275,0,21,94,0,1,0,0,0,116,2,118,252
1,29,CHILPANCINGO DE LOS BRAVO,1276,9,146,224,25,39,13,3,142,632,137,769,1234
1,29,CHILPANCINGO DE LOS BRAVO,1277,1,47,15,3,2,2,0,46,124,13,137,238
1,29,CHILPANCINGO DE LOS BRAVO,1282,4,220,45,13,89,24,7,39,494,51,545,957
1,29,CHILPANCINGO DE LOS BRAVO,1283,11,159,69,17,95,12,4,48,446,52,498,894
1,29,CHILPANCINGO DE LOS BRAVO,1284,7,76,68,21,3,0,4,8,200,20,221,329
1,29,CHILPANCINGO DE LOS BRAVO,1292,11,145,91,26,35,9,8,103,438,20,458,781
1,29,CHILPANCINGO DE LOS BRAVO,1293,0,148,36,0,3,0,2,31,243,11,254,444
1,29,CHILPANCINGO DE LOS BRAVO,1294,17,143,107,21,14,5,10,100,465,36,501,826
1,29,CHILPANCINGO DE LOS BRAVO,1298,0,48,74,6,3,1,0,24,166,4,170,238
2,29,CHILPANCINGO DE LOS BRAVO,1207,29,301,146,72,75,18,14,628,1393,67,1466,2593
2,29,CHILPANCINGO DE LOS BRAVO,1208,23,266,187,52,112,38,6,756,1627,104,1732,3127
2,29,CHILPANCINGO DE LOS BRAVO,1218,14,211,128,44,64,17,10,573,1182,52,1234,2128
2,29,CHILPANCINGO DE LOS BRAVO,1227,35,303,114,24,54,27,10,697,1404,77,1481,2190
2,29,CHILPANCINGO DE LOS BRAVO,1228,22,239,104,37,34,26,15,564,1165,44,1209,1975
2,29,CHILPANCINGO DE LOS BRAVO,1229,18,208,89,76,49,24,6,532,1101,56,1157,1791
2,29,CHILPANCINGO DE LOS BRAVO,1230,22,163,82,24,30,10,5,421,826,41,867,1222
2,29,CHILPANCINGO DE LOS BRAVO,1239,30,116,50,17,19,16,9,346,680,32,712,1020
2,29,CHILPANCINGO DE LOS BRAVO,1240,13,209,82,19,35,26,8,455,926,51,977,1417
2,29,CHILPANCINGO DE LOS BRAVO,1241,8,157,67,31,34,9,4,422,808,38,847,1222
2,29,CHILPANCINGO DE LOS BRAVO,1242,18,179,96,20,49,40,18,648,1212,57,1269,1857
2,29,CHILPANCINGO DE LOS BRAVO,1243,20,265,120,36,76,26,13,749,1460,73,1533,2529
2,29,CHILPANCINGO DE LOS BRAVO,1244,18,269,92,21,55,25,13,550,1151,40,1193,2057
2,29,CHILPANCINGO DE LOS BRAVO,1245,7,265,96,22,67,62,6,667,1295,70,1367,2353
2,29,CHILPANCINGO DE LOS BRAVO,1246,16,105,42,11,33,19,5,366,657,12,670,970
2,29,CHILPANCINGO DE LOS BRAVO,1247,15,144,68,21,40,15,2,450,844,48,892,1325
2,29,CHILPANCINGO DE LOS BRAVO,1248,14,162,98,19,29,19,17,463,902,40,943,1389
2,29,CHILPANCINGO DE LOS BRAVO,1249,22,135,60,20,25,16,7,375,742,35,778,1166
2,29,CHILPANCINGO DE LOS BRAVO,1250,21,127,64,18,18,11,8,485,807,30,848,1325
2,29,CHILPANCINGO DE LOS BRAVO,1251,29,222,55,14,37,18,10,511,989,39,1028,1544
2,29,CHILPANCINGO DE LOS BRAVO,1254,34,245,70,18,34,20,5,560,1072,53,1125,1579
2,29,CHILPANCINGO DE LOS BRAVO,1255,20,149,69,21,21,15,11,437,810,26,839,1185
2,29,CHILPANCINGO DE LOS BRAVO,1256,11,146,52,6,42,11,7,381,734,18,754,1089
2,29,CHILPANCINGO DE LOS BRAVO,1257,40,469,147,59,91,41,23,1456,2641,103,2745,4057
2,29,CHILPANCINGO DE LOS BRAVO,1258,29,206,82,31,32,23,18,715,1264,23,1289,1814
2,29,CHILPANCINGO DE LOS BRAVO,1261,44,295,90,29,46,20,13,553,1214,72,1286,1838
2,29,CHILPANCINGO DE LOS BRAVO,1262,33,144,39,12,22,6,7,327,651,38,689,1001
2,29,CHILPANCINGO DE LOS BRAVO,1263,47,338,102,25,57,30,11,910,1691,64,1755,2628
2,29,CHILPANCINGO DE LOS BRAVO,1267,111,1084,441,115,215,132,38,3205,5859,252,6122,9035
2,29,CHILPANCINGO DE LOS BRAVO,1268,26,237,65,11,23,13,7,403,862,38,901,1279
2,29,CHILPANCINGO DE LOS BRAVO,1269,45,307,94,37,38,16,14,548,1218,50,1268,1675
2,29,CHILPANCINGO DE LOS BRAVO,1270,44,344,115,41,66,31,35,808,1625,59,1685,2562
2,29,CHILPANCINGO DE LOS BRAVO,1271,74,459,125,40,84,31,26,1283,2339,113,2455,3784
2,29,CHILPANCINGO DE LOS BRAVO,1278,4,104,118,5,17,5,7,346,649,42,691,1075
2,29,CHILPANCINGO DE LOS BRAVO,1279,27,341,153,37,49,41,12,1007,1817,76,1895,3139
2,29,CHILPANCINGO DE LOS BRAVO,1280,10,204,132,22,25,19,11,534,1039,50,1089,1683
2,29,CHILPANCINGO DE LOS BRAVO,1281,33,365,158,27,67,27,18,883,1725,72,1797,2964
2,29,CHILPANCINGO DE LOS BRAVO,1285,4,72,112,9,23,6,4,80,324,46,370,634
2,29,CHILPANCINGO DE LOS BRAVO,1286,13,185,100,17,50,49,6,424,920,43,967,1689
2,29,CHILPANCINGO DE LOS BRAVO,1287,9,134,125,15,34,48,8,126,544,22,566,1419
2,29,CHILPANCINGO DE LOS BRAVO,1288,17,201,191,23,36,32,1,314,897,50,947,1691
2,29,CHILPANCINGO DE LOS BRAVO,1289,11,310,121,83,40,54,9,511,1196,64,1260,2146
2,29,CHILPANCINGO DE LOS BRAVO,1290,0,47,11,2,2,7,0,13,92,5,97,208
2,29,CHILPANCINGO DE LOS BRAVO,1291,5,48,71,7,7,2,4,28,199,9,208,394
2,29,CHILPANCINGO DE LOS BRAVO,1295,21,210,95,13,30,52,3,141,630,20,650,1430
2,29,CHILPANCINGO DE LOS BRAVO,1296,13,198,131,53,29,28,5,148,667,38,705,1070
2,29,CHILPANCINGO DE LOS BRAVO,1297,2,84,35,7,11,2,1,125,284,8,292,495
2,29,CHILPANCINGO DE LOS BRAVO,1299,5,38,44,14,8,11,4,75,266,29,295,517
2,29,CHILPANCINGO DE LOS BRAVO,1300,8,155,63,11,11,32,6,139,537,39,576,945
2,29,CHILPANCINGO DE LOS BRAVO,1301,15,126,80,22,13,64,8,413,797,38,841,1677
2,29,CHILPANCINGO DE LOS BRAVO,1302,32,158,127,29,13,72,9,415,932,41,973,1973
