"DISTRITO
FEDERAL","CLAVE
MUNICIPIO","NOMBRE
MUNICIPIO",SECCION,"LISTA
HOMBRES","LISTA
MUJERES","LISTA
NOMINAL",LISTA_18_HOMBRES,LISTA_18_MUJERES,LISTA_19_HOMBRES,LISTA_19_MUJERES,LISTA_20_24_HOMBRES,LISTA_20_24_MUJERES,LISTA_25_29_HOMBRES,LISTA_25_29_MUJERES,LISTA_30_34_HOMBRES,LISTA_30_34_MUJERES,LISTA_35_39_HOMBRES,LISTA_35_39_MUJERES,LISTA_40_44_HOMBRES,LISTA_40_44_MUJERES,LISTA_45_49_HOMBRES,LISTA_45_49_MUJERES,LISTA_50_54_HOMBRES,LISTA_50_54_MUJERES,LISTA_55_59_HOMBRES,LISTA_55_59_MUJERES,LISTA_60_64_HOMBRES,LISTA_60_64_MUJERES,LISTA_65_Y_MAS_HOMBRES,LISTA_65_Y_MAS_MUJERES
1,3,AJUCHITLAN DEL PROGRESO,411,529,558,1087,5,4,14,13,65,83,66,55,48,41,54,54,43,37,46,46,48,44,16,32,33,40,91,109
1,3,AJUCHITLAN DEL PROGRESO,412,156,156,312,3,3,1,2,19,14,24,16,15,11,9,12,16,7,13,11,10,20,11,13,7,12,28,35
1,3,AJUCHITLAN DEL PROGRESO,413,331,373,704,3,3,6,8,40,44,29,41,35,32,36,35,33,38,28,32,25,26,28,24,10,18,58,72
1,3,AJUCHITLAN DEL PROGRESO,414,1216,1369,2585,18,25,37,23,161,145,135,146,139,189,124,153,99,116,101,106,85,85,55,89,63,70,199,222
1,3,AJUCHITLAN DEL PROGRESO,415,1061,1098,2159,19,19,25,37,147,158,157,130,114,119,103,105,75,94,85,78,68,92,69,44,45,40,154,182
1,3,AJUCHITLAN DEL PROGRESO,416,343,360,703,5,3,6,5,34,35,51,48,39,49,37,36,22,23,23,20,31,25,18,21,14,27,63,68
1,3,AJUCHITLAN DEL PROGRESO,417,394,497,891,5,11,3,11,44,60,62,61,35,54,36,42,29,40,42,45,32,41,20,28,15,25,71,79
1,3,AJUCHITLAN DEL PROGRESO,418,599,714,1313,13,10,14,14,74,89,68,73,72,62,54,55,54,73,40,55,33,60,42,44,31,48,104,131
1,3,AJUCHITLAN DEL PROGRESO,419,318,364,682,2,3,8,8,38,45,38,53,38,31,33,35,30,26,22,29,22,26,18,26,13,25,56,57
1,3,AJUCHITLAN DEL PROGRESO,420,191,208,399,1,9,1,4,14,16,10,18,14,13,24,17,9,11,13,13,17,23,18,7,12,19,58,58
1,3,AJUCHITLAN DEL PROGRESO,421,451,520,971,9,4,6,2,53,52,42,49,44,61,34,53,46,44,44,45,38,44,15,34,24,35,96,97
1,3,AJUCHITLAN DEL PROGRESO,422,462,513,975,5,3,12,21,70,47,53,61,52,60,39,49,38,47,30,48,29,34,18,29,17,24,99,90
1,3,AJUCHITLAN DEL PROGRESO,423,345,408,753,11,9,8,7,50,46,37,36,21,33,28,48,34,35,30,40,26,26,10,28,20,20,70,80
1,3,AJUCHITLAN DEL PROGRESO,424,301,305,606,7,6,8,13,39,36,40,35,38,41,34,33,28,22,18,21,22,22,20,20,14,13,33,43
1,3,AJUCHITLAN DEL PROGRESO,425,241,288,529,5,0,4,6,18,33,34,41,42,36,26,29,14,31,16,20,22,12,8,14,11,19,41,47
1,3,AJUCHITLAN DEL PROGRESO,426,192,218,410,7,3,4,3,18,22,26,30,20,16,15,17,11,19,19,16,14,21,10,13,13,15,35,43
1,3,AJUCHITLAN DEL PROGRESO,427,251,272,523,6,4,4,6,23,24,17,23,20,21,19,18,27,14,12,22,19,18,24,18,11,30,69,74
